transaction,category,confidence,explanation
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
WHITE METAL LANTERN,Bills & Utilities,0.9395,The model identified patterns in the keywords: 'white metal lantern'.
CREAM CUPID HEARTS COAT HANGER,Food & Dining,0.9975,The model identified patterns in the keywords: 'cream cupid hearts coat hanger'.
KNITTED UNION FLAG HOT WATER BOTTLE,Other,0.4616,Model confidence was low; classified as Other.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
SET 7 BABUSHKA NESTING BOXES,Shopping,0.9466,The model identified patterns in the keywords: 'babushka nesting boxes'.
GLASS STAR FROSTED T-LIGHT HOLDER,Other,0.5288,Model confidence was low; classified as Other.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
HAND WARMER RED POLKA DOT,Food & Dining,0.7758,The model identified patterns in the keywords: 'hand warmer polka'.
ASSORTED COLOUR BIRD ORNAMENT,Shopping,0.9964,The model identified patterns in the keywords: 'assorted colour bird ornament'.
POPPY'S PLAYHOUSE BEDROOM ,Shopping,0.9895,The model identified patterns in the keywords: 'poppy's playhouse bedroom'.
POPPY'S PLAYHOUSE KITCHEN,Food & Dining,0.9004,The model identified patterns in the keywords: 'poppy's playhouse kitchen'.
FELTCRAFT PRINCESS CHARLOTTE DOLL,Shopping,0.9997,The model identified patterns in the keywords: 'feltcraft princess charlotte doll'.
IVORY KNITTED MUG COSY ,Shopping,0.9666,The model identified patterns in the keywords: 'ivory knitted cosy'.
BOX OF 6 ASSORTED COLOUR TEASPOONS,Food & Dining,0.8738,The model identified patterns in the keywords: 'assorted colour teaspoons'.
BOX OF VINTAGE JIGSAW BLOCKS ,Shopping,0.9984,The model identified patterns in the keywords: 'vintage jigsaw blocks'.
BOX OF VINTAGE ALPHABET BLOCKS,Shopping,0.9994,The model identified patterns in the keywords: 'vintage alphabet blocks'.
HOME BUILDING BLOCK WORD,Shopping,0.9757,The model identified patterns in the keywords: 'home building block word'.
LOVE BUILDING BLOCK WORD,Food & Dining,0.9879,The model identified patterns in the keywords: 'love building block word'.
RECIPE BOX WITH METAL HEART,Shopping,0.9064,The model identified patterns in the keywords: 'recipe with metal heart'.
DOORMAT NEW ENGLAND,Shopping,0.9982,The model identified patterns in the keywords: 'doormat england'.
JAM MAKING SET WITH JARS,Food & Dining,0.9997,The model identified patterns in the keywords: 'making with jars'.
RED COAT RACK PARIS FASHION,Shopping,0.9998,The model identified patterns in the keywords: 'coat rack paris fashion'.
YELLOW COAT RACK PARIS FASHION,Shopping,0.9997,The model identified patterns in the keywords: 'yellow coat rack paris fashion'.
BLUE COAT RACK PARIS FASHION,Shopping,0.9997,The model identified patterns in the keywords: 'blue coat rack paris fashion'.
BATH BUILDING BLOCK WORD,Medical,0.8528,The model identified patterns in the keywords: 'bath building block word'.
ALARM CLOCK BAKELIKE PINK,Bills & Utilities,0.6728,The model identified patterns in the keywords: 'alarm clock bakelike pink'.
ALARM CLOCK BAKELIKE RED ,Bills & Utilities,0.7996,The model identified patterns in the keywords: 'alarm clock bakelike'.
ALARM CLOCK BAKELIKE GREEN,Bills & Utilities,0.8878,The model identified patterns in the keywords: 'alarm clock bakelike green'.
PANDA AND BUNNIES STICKER SHEET,Shopping,0.8998,The model identified patterns in the keywords: 'panda bunnies sticker sheet'.
STARS GIFT TAPE ,Shopping,0.9995,The model identified patterns in the keywords: 'stars gift tape'.
INFLATABLE POLITICAL GLOBE ,Other,0.5433,Model confidence was low; classified as Other.
VINTAGE HEADS AND TAILS CARD GAME ,Shopping,0.7644,The model identified patterns in the keywords: 'vintage heads tails card game'.
SET/2 RED RETROSPOT TEA TOWELS ,Food & Dining,0.9985,The model identified patterns in the keywords: 'set/2 retrospot towels'.
ROUND SNACK BOXES SET OF4 WOODLAND ,Food & Dining,0.9902,The model identified patterns in the keywords: 'round snack boxes woodland'.
SPACEBOY LUNCH BOX ,Food & Dining,0.9969,The model identified patterns in the keywords: 'spaceboy lunch'.
LUNCH BOX I LOVE LONDON,Food & Dining,0.9706,The model identified patterns in the keywords: 'lunch love london'.
CIRCUS PARADE LUNCH BOX ,Shopping,0.8997,The model identified patterns in the keywords: 'circus parade lunch'.
CHARLOTTE BAG DOLLY GIRL DESIGN,Shopping,0.9997,The model identified patterns in the keywords: 'charlotte dolly girl design'.
RED TOADSTOOL LED NIGHT LIGHT,Bills & Utilities,0.7305,The model identified patterns in the keywords: 'toadstool night light'.
 SET 2 TEA TOWELS I LOVE LONDON ,Food & Dining,0.9992,The model identified patterns in the keywords: 'towels love london'.
VINTAGE SEASIDE JIGSAW PUZZLES,Shopping,0.9957,The model identified patterns in the keywords: 'vintage seaside jigsaw puzzles'.
MINI JIGSAW CIRCUS PARADE ,Shopping,0.752,The model identified patterns in the keywords: 'mini jigsaw circus parade'.
MINI JIGSAW SPACEBOY,Shopping,0.7532,The model identified patterns in the keywords: 'mini jigsaw spaceboy'.
MINI PAINT SET VINTAGE ,Shopping,0.9965,The model identified patterns in the keywords: 'mini paint vintage'.
POSTAGE,Shopping,0.9713,The model identified patterns in the keywords: 'postage'.
PAPER CHAIN KIT 50'S CHRISTMAS ,Shopping,0.9991,The model identified patterns in the keywords: 'paper chain 50's christmas'.
HAND WARMER RED POLKA DOT,Food & Dining,0.7758,The model identified patterns in the keywords: 'hand warmer polka'.
HAND WARMER UNION JACK,Other,0.5074,Model confidence was low; classified as Other.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
WHITE METAL LANTERN,Bills & Utilities,0.9395,The model identified patterns in the keywords: 'white metal lantern'.
CREAM CUPID HEARTS COAT HANGER,Food & Dining,0.9975,The model identified patterns in the keywords: 'cream cupid hearts coat hanger'.
EDWARDIAN PARASOL RED,Food & Dining,0.9091,The model identified patterns in the keywords: 'edwardian parasol'.
RETRO COFFEE MUGS ASSORTED,Food & Dining,0.9976,The model identified patterns in the keywords: 'retro coffee mugs assorted'.
SAVE THE PLANET MUG,Other,0.5367,Model confidence was low; classified as Other.
VINTAGE BILLBOARD DRINK ME MUG,Shopping,0.9958,The model identified patterns in the keywords: 'vintage billboard drink'.
VINTAGE BILLBOARD LOVE/HATE MUG,Shopping,0.9997,The model identified patterns in the keywords: 'vintage billboard love/hate'.
WOOD 2 DRAWER CABINET WHITE FINISH,Shopping,0.9984,The model identified patterns in the keywords: 'wood drawer cabinet white finish'.
WOOD S/3 CABINET ANT WHITE FINISH,Shopping,0.9901,The model identified patterns in the keywords: 'wood cabinet white finish'.
WOODEN PICTURE FRAME WHITE FINISH,Shopping,0.9937,The model identified patterns in the keywords: 'wooden picture frame white finish'.
WOODEN FRAME ANTIQUE WHITE ,Shopping,0.9755,The model identified patterns in the keywords: 'wooden frame antique white'.
KNITTED UNION FLAG HOT WATER BOTTLE,Other,0.4616,Model confidence was low; classified as Other.
RED WOOLLY HOTTIE WHITE HEART.,Shopping,0.9573,The model identified patterns in the keywords: 'woolly hottie white heart.'.
SET 7 BABUSHKA NESTING BOXES,Shopping,0.9466,The model identified patterns in the keywords: 'babushka nesting boxes'.
GLASS STAR FROSTED T-LIGHT HOLDER,Other,0.5288,Model confidence was low; classified as Other.
VICTORIAN SEWING BOX LARGE,Shopping,0.9997,The model identified patterns in the keywords: 'victorian sewing large'.
WHITE HANGING HEART T-LIGHT HOLDER,Shopping,0.9775,The model identified patterns in the keywords: 'white hanging heart t-light holder'.
WHITE METAL LANTERN,Bills & Utilities,0.9395,The model identified patterns in the keywords: 'white metal lantern'.
CREAM CUPID HEARTS COAT HANGER,Food & Dining,0.9975,The model identified patterns in the keywords: 'cream cupid hearts coat hanger'.
EDWARDIAN PARASOL RED,Food & Dining,0.9091,The model identified patterns in the keywords: 'edwardian parasol'.
RETRO COFFEE MUGS ASSORTED,Food & Dining,0.9976,The model identified patterns in the keywords: 'retro coffee mugs assorted'.
SAVE THE PLANET MUG,Other,0.5367,Model confidence was low; classified as Other.
VINTAGE BILLBOARD DRINK ME MUG,Shopping,0.9958,The model identified patterns in the keywords: 'vintage billboard drink'.
